IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
108.162.198.195,4,4,0.00,77.18,103.88,NRT
172.64.52.120,4,4,0.00,66.14,103.37,NRT
162.159.39.117,4,4,0.00,59.90,100.37,NRT
162.159.45.224,4,4,0.00,50.52,94.00,NRT
162.159.38.254,4,4,0.00,59.42,92.75,NRT
162.159.44.249,4,4,0.00,53.98,91.18,NRT
172.64.53.242,4,4,0.00,54.38,67.03,NRT
172.64.34.218,4,4,0.00,87.67,12.98,SIN
172.64.229.82,4,4,0.00,71.12,0.00,N/A
172.64.37.170,4,4,0.00,87.68,0.00,N/A
172.64.33.218,4,4,0.00,87.82,0.00,N/A
172.64.38.203,4,4,0.00,88.08,0.00,N/A
172.64.158.67,4,4,0.00,88.21,0.00,N/A
172.64.41.238,4,4,0.00,88.66,0.00,N/A
172.64.36.43,4,4,0.00,88.74,0.00,N/A
172.64.147.9,4,4,0.00,89.02,0.00,N/A
172.64.148.5,4,4,0.00,89.19,0.00,N/A
172.64.49.241,4,4,0.00,89.22,0.00,N/A
172.64.46.26,4,4,0.00,89.25,0.00,N/A
172.64.149.84,4,4,0.00,89.33,0.00,N/A
162.159.33.132,4,4,0.00,89.40,0.00,N/A
172.64.35.214,4,4,0.00,89.61,0.00,N/A
162.159.56.229,4,4,0.00,89.91,0.00,N/A
172.64.50.178,4,4,0.00,90.00,0.00,N/A
172.64.151.119,4,4,0.00,90.29,0.00,N/A
172.64.42.53,4,4,0.00,90.42,0.00,N/A
172.64.154.100,4,4,0.00,90.85,0.00,N/A
172.64.145.110,4,4,0.00,90.89,0.00,N/A
162.159.24.39,4,4,0.00,90.91,0.00,N/A
162.159.40.200,4,4,0.00,91.01,0.00,N/A
162.159.48.138,4,4,0.00,91.02,0.00,N/A
172.64.155.95,4,4,0.00,91.20,0.00,N/A
172.64.152.120,4,4,0.00,91.21,0.00,N/A
172.64.48.182,4,4,0.00,91.37,0.00,N/A
162.159.36.59,4,4,0.00,91.39,0.00,N/A
172.64.47.108,4,4,0.00,91.43,0.00,N/A
162.159.41.0,4,4,0.00,91.60,0.00,N/A
162.159.50.128,4,4,0.00,91.63,0.00,N/A
162.159.49.55,4,4,0.00,91.63,0.00,N/A
172.64.156.75,4,4,0.00,91.72,0.00,N/A
162.159.58.229,4,4,0.00,91.80,0.00,N/A
162.159.51.189,4,4,0.00,91.86,0.00,N/A
162.159.46.13,4,4,0.00,92.14,0.00,N/A
172.64.144.107,4,4,0.00,92.63,0.00,N/A
172.64.32.152,4,4,0.00,92.63,0.00,N/A
172.64.157.56,4,4,0.00,92.79,0.00,N/A
162.159.27.217,4,4,0.00,93.01,0.00,N/A
172.64.146.136,4,4,0.00,93.02,0.00,N/A
162.159.26.121,4,4,0.00,93.09,0.00,N/A
162.159.25.62,4,4,0.00,93.49,0.00,N/A
162.159.42.205,4,4,0.00,93.91,0.00,N/A
198.41.211.242,4,4,0.00,94.52,0.00,N/A
198.41.223.169,4,4,0.00,94.82,0.00,N/A
198.41.222.120,4,4,0.00,95.90,0.00,N/A
162.159.43.103,4,4,0.00,97.67,0.00,N/A
173.245.58.241,4,4,0.00,98.41,0.00,N/A
173.245.59.67,4,4,0.00,99.43,0.00,N/A
162.159.61.134,4,4,0.00,100.86,0.00,N/A
162.159.0.154,4,4,0.00,101.19,0.00,N/A
162.159.62.188,4,4,0.00,101.65,0.00,N/A
162.159.1.163,4,4,0.00,102.41,0.00,N/A
162.159.2.76,4,4,0.00,103.13,0.00,N/A
162.159.60.150,4,4,0.00,103.34,0.00,N/A
162.159.11.117,4,4,0.00,104.41,0.00,N/A
162.159.5.170,4,4,0.00,104.50,0.00,N/A
162.159.13.223,4,4,0.00,106.37,0.00,N/A
108.162.196.163,4,4,0.00,106.67,0.00,N/A
162.159.6.133,4,4,0.00,106.78,0.00,N/A
162.159.14.96,4,4,0.00,107.74,0.00,N/A
108.162.192.246,4,4,0.00,108.03,0.00,N/A
162.159.8.190,4,4,0.00,108.37,0.00,N/A
162.159.3.218,4,4,0.00,108.78,0.00,N/A
108.162.194.23,4,4,0.00,109.61,0.00,N/A
108.162.193.90,4,4,0.00,109.96,0.00,N/A
162.159.15.54,4,4,0.00,109.98,0.00,N/A
162.159.7.55,4,4,0.00,109.98,0.00,N/A
162.159.18.180,4,4,0.00,110.42,0.00,N/A
162.159.9.231,4,4,0.00,111.06,0.00,N/A
162.159.16.237,4,4,0.00,112.05,0.00,N/A
162.159.10.131,4,4,0.00,112.18,0.00,N/A
162.159.17.34,4,4,0.00,112.18,0.00,N/A
162.159.20.108,4,4,0.00,113.06,0.00,N/A
162.159.12.214,4,4,0.00,113.06,0.00,N/A
162.159.21.190,4,4,0.00,113.18,0.00,N/A
162.159.23.118,4,4,0.00,114.71,0.00,N/A
162.159.22.160,4,4,0.00,114.91,0.00,N/A
172.64.87.3,4,4,0.00,151.05,0.00,N/A
104.18.44.26,4,4,0.00,151.39,0.00,N/A
104.18.33.19,4,4,0.00,151.43,0.00,N/A
104.18.43.157,4,4,0.00,152.16,0.00,N/A
104.18.42.212,4,4,0.00,152.45,0.00,N/A
104.16.64.152,4,4,0.00,152.98,0.00,N/A
104.16.52.39,4,4,0.00,153.53,0.00,N/A
104.18.47.205,4,4,0.00,153.94,0.00,N/A
172.64.90.76,4,4,0.00,154.37,0.00,N/A
104.16.92.241,4,4,0.00,154.47,0.00,N/A
104.16.58.107,4,4,0.00,155.27,0.00,N/A
198.41.199.148,4,4,0.00,155.31,0.00,N/A
172.65.236.120,4,4,0.00,156.27,0.00,N/A
198.41.196.122,4,4,0.00,156.33,0.00,N/A
104.16.83.76,4,4,0.00,156.42,0.00,N/A
198.41.200.100,4,4,0.00,156.57,0.00,N/A
172.64.80.184,4,4,0.00,156.76,0.00,N/A
104.18.32.184,4,4,0.00,156.81,0.00,N/A
172.65.237.59,4,4,0.00,157.02,0.00,N/A
104.18.36.129,4,4,0.00,157.24,0.00,N/A
104.18.37.248,4,4,0.00,157.32,0.00,N/A
104.18.41.132,4,4,0.00,157.34,0.00,N/A
104.18.38.150,4,4,0.00,157.34,0.00,N/A
104.18.46.217,4,4,0.00,157.37,0.00,N/A
104.18.40.211,4,4,0.00,157.55,0.00,N/A
104.17.45.155,4,4,0.00,157.56,0.00,N/A
104.18.45.15,4,4,0.00,157.65,0.00,N/A
104.21.237.249,4,4,0.00,157.77,0.00,N/A
104.16.8.116,4,4,0.00,157.79,0.00,N/A
104.18.39.172,4,4,0.00,157.82,0.00,N/A
162.159.199.245,4,4,0.00,157.88,0.00,N/A
104.16.172.134,4,4,0.00,158.09,0.00,N/A
104.19.83.55,4,4,0.00,158.20,0.00,N/A
172.65.210.247,4,4,0.00,158.69,0.00,N/A
104.21.225.156,4,4,0.00,159.04,0.00,N/A
172.65.207.56,4,4,0.00,159.15,0.00,N/A
190.93.245.34,4,4,0.00,159.16,0.00,N/A
104.18.34.247,4,4,0.00,159.26,0.00,N/A
104.16.174.7,4,4,0.00,159.34,0.00,N/A
104.19.74.57,4,4,0.00,159.52,0.00,N/A
172.65.202.98,4,4,0.00,159.62,0.00,N/A
104.21.235.61,4,4,0.00,159.73,0.00,N/A
104.16.89.68,4,4,0.00,159.85,0.00,N/A
172.65.252.22,4,4,0.00,159.92,0.00,N/A
172.66.0.146,4,4,0.00,160.00,0.00,N/A
104.21.229.225,4,4,0.00,160.03,0.00,N/A
104.17.40.247,4,4,0.00,160.13,0.00,N/A
104.21.228.230,4,4,0.00,160.18,0.00,N/A
104.16.62.10,4,4,0.00,160.27,0.00,N/A
104.16.35.47,4,4,0.00,160.37,0.00,N/A
172.65.211.158,4,4,0.00,160.48,0.00,N/A
104.17.66.182,4,4,0.00,160.58,0.00,N/A
104.16.213.159,4,4,0.00,160.58,0.00,N/A
162.159.192.59,4,4,0.00,160.66,0.00,N/A
104.17.77.53,4,4,0.00,160.75,0.00,N/A
104.17.26.73,4,4,0.00,160.85,0.00,N/A
172.64.176.148,4,4,0.00,160.93,0.00,N/A
104.16.211.91,4,4,0.00,161.15,0.00,N/A
104.21.239.94,4,4,0.00,161.16,0.00,N/A
172.66.40.227,4,4,0.00,161.36,0.00,N/A
104.16.220.193,4,4,0.00,161.65,0.00,N/A
104.17.6.185,4,4,0.00,161.67,0.00,N/A
104.17.73.138,4,4,0.00,161.78,0.00,N/A
104.16.108.31,4,4,0.00,161.82,0.00,N/A
104.16.67.193,4,4,0.00,162.04,0.00,N/A
104.19.61.154,4,4,0.00,162.04,0.00,N/A
104.21.226.31,4,4,0.00,162.30,0.00,N/A
172.65.229.148,4,4,0.00,162.38,0.00,N/A
104.17.55.210,4,4,0.00,162.40,0.00,N/A
172.65.196.93,4,4,0.00,162.54,0.00,N/A
172.65.209.254,4,4,0.00,162.61,0.00,N/A
104.17.31.91,4,4,0.00,162.93,0.00,N/A
104.16.125.246,4,4,0.00,163.05,0.00,N/A
104.16.229.40,4,4,0.00,163.25,0.00,N/A
104.17.7.34,4,4,0.00,163.32,0.00,N/A
172.65.203.20,4,4,0.00,163.54,0.00,N/A
198.41.204.167,4,4,0.00,163.59,0.00,N/A
104.16.249.14,4,4,0.00,163.67,0.00,N/A
104.16.116.171,4,4,0.00,163.84,0.00,N/A
104.17.37.26,4,4,0.00,163.88,0.00,N/A
172.64.67.65,4,4,0.00,163.88,0.00,N/A
104.16.10.96,4,4,0.00,163.91,0.00,N/A
104.16.112.217,4,4,0.00,163.94,0.00,N/A
104.16.61.241,4,4,0.00,163.94,0.00,N/A
104.16.2.202,4,4,0.00,164.01,0.00,N/A
104.16.90.240,4,4,0.00,164.04,0.00,N/A
104.21.238.16,4,4,0.00,164.13,0.00,N/A
104.16.87.20,4,4,0.00,164.14,0.00,N/A
162.159.212.195,4,4,0.00,164.16,0.00,N/A
172.66.45.34,4,4,0.00,164.17,0.00,N/A
104.17.50.208,4,4,0.00,164.24,0.00,N/A
104.17.82.250,4,4,0.00,164.37,0.00,N/A
104.16.123.143,4,4,0.00,164.47,0.00,N/A
104.21.224.189,4,4,0.00,164.48,0.00,N/A
104.16.204.250,4,4,0.00,164.64,0.00,N/A
104.16.227.36,4,4,0.00,164.89,0.00,N/A
104.17.72.67,4,4,0.00,164.93,0.00,N/A
198.41.202.44,4,4,0.00,164.94,0.00,N/A
104.16.115.75,4,4,0.00,165.11,0.00,N/A
104.17.61.96,4,4,0.00,165.14,0.00,N/A
104.16.120.24,4,4,0.00,165.17,0.00,N/A
172.64.84.139,4,4,0.00,165.21,0.00,N/A
104.17.104.123,4,4,0.00,165.33,0.00,N/A
104.16.98.151,4,4,0.00,165.40,0.00,N/A
104.16.223.32,4,4,0.00,165.48,0.00,N/A
104.17.108.139,4,4,0.00,165.50,0.00,N/A
198.41.201.254,4,4,0.00,165.77,0.00,N/A
104.16.185.141,4,4,0.00,165.87,0.00,N/A
172.64.93.66,4,4,0.00,166.17,0.00,N/A
104.17.78.161,4,4,0.00,166.18,0.00,N/A
198.41.209.163,4,4,0.00,166.28,0.00,N/A
104.16.252.220,4,4,0.00,166.39,0.00,N/A
104.16.113.202,4,4,0.00,166.42,0.00,N/A
